trans_date_trans_time,cc_num,merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,merch_lat,merch_long,is_fraud,trans_hour,trans_day,trans_month_year,age,risk_level,cust_avg,is_flagged
2019-01-01 00:00:18,2703186189652095,"fraud_Rippin, Kub and Mann",misc_net,4.97,F,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",36.011293,-82.048315,0,0,1,2019-01,30,Low,89.40874274000684,0
2019-01-01 00:00:44,630423337322,"fraud_Heller, Gutmann and Zieme",grocery_pos,107.23,F,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,49.159047,-118.186462,0,0,1,2019-01,40,Low,56.07811325080239,0
2019-01-01 00:00:51,38859492057661,fraud_Lind-Buckridge,entertainment,220.11,M,Malad City,ID,83252,42.1808,-112.262,4154,Nature conservation officer,43.150704,-112.154481,0,0,1,2019-01,56,Low,69.92427210884354,1
2019-01-01 00:01:16,3534093764340240,"fraud_Kutch, Hermiston and Farrell",gas_transport,45.0,M,Boulder,MT,59632,46.2306,-112.1138,1939,Patent attorney,47.034331,-112.561071,0,0,1,2019-01,52,Low,80.09004037685061,0
2019-01-01 00:03:06,375534208663984,fraud_Keeling-Crist,misc_pos,41.96,M,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,38.674999,-78.632459,0,0,1,2019-01,32,Low,95.34114647501713,0
2019-01-01 00:04:08,4767265376804500,"fraud_Stroman, Hudson and Erdman",gas_transport,94.63,F,Dublin,PA,18917,40.375,-75.2045,2158,Transport planner,40.653382,-76.15266700000001,0,0,1,2019-01,57,Low,69.90361413043478,0
2019-01-01 00:04:42,30074693890476,fraud_Rowe-Vandervort,grocery_net,44.54,F,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,37.162705,-100.15337,0,0,1,2019-01,25,Low,88.44478008864644,0
2019-01-01 00:05:08,6011360759745864,fraud_Corwin-Collins,gas_transport,71.65,M,Edinburg,VA,22824,38.8432,-78.6003,6018,"Designer, multimedia",38.948089,-78.540296,0,0,1,2019-01,71,Low,65.48335382513662,0
2019-01-01 00:05:18,4922710831011201,fraud_Herzog Ltd,misc_pos,4.27,F,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,40.351813,-79.958146,0,0,1,2019-01,77,Low,66.4958231292517,0
2019-01-01 00:06:01,2720830304681674,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,198.39,F,Clarksville,TN,37040,36.522,-87.34899999999999,151785,Pathologist,37.179198,-87.485381,0,0,1,2019-01,44,Low,92.21374914792094,0
2019-01-01 00:06:23,4642894980163,fraud_Rutherford-Mertz,grocery_pos,24.74,M,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,40.275891,-96.011548,0,0,1,2019-01,28,Low,58.6915537303217,0
2019-01-01 00:06:53,377234009633447,fraud_Kerluke-Abshire,shopping_net,7.77,F,Shenandoah Junction,WV,25442,39.3716,-77.8229,1925,Systems developer,40.103866,-78.624459,0,0,1,2019-01,52,Low,61.33260839877091,0
2019-01-01 00:06:56,180042946491150,fraud_Lockman Ltd,grocery_pos,71.22,M,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",27.630593,-82.308891,0,0,1,2019-01,29,Low,57.45390961999316,0
2019-01-01 00:07:27,5559857416065248,fraud_Kiehn Inc,grocery_pos,96.29,M,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,41.65752,-122.230347,0,0,1,2019-01,73,Low,68.92065514103732,0
2019-01-01 00:09:03,3514865930894695,fraud_Beier-Hyatt,shopping_pos,7.77,M,High Rolls Mountain Park,NM,88325,32.9396,-105.8189,899,Naval architect,32.863258,-106.520205,0,0,1,2019-01,51,Low,64.0766392881588,0
2019-01-01 00:09:20,6011999606625827,fraud_Schmidt and Sons,shopping_net,3.26,M,Harrington Park,NJ,7640,40.9918,-73.98,4664,"Radiographer, diagnostic",41.831174,-74.335559,0,0,1,2019-01,53,Low,66.89653916211293,0
2019-01-01 00:10:49,6011860238257910,fraud_Lebsack and Sons,misc_net,327.0,F,Lahoma,OK,73754,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",36.384092,-99.048472,0,0,1,2019-01,66,Low,61.42882494004796,1
2019-01-01 00:10:58,3565423334076143,fraud_Mayert Group,shopping_pos,341.67,M,Carlisle,IN,47838,38.9763,-87.3667,4081,Energy engineer,38.674491,-88.305767,0,0,1,2019-01,80,Low,68.92082819986311,1
2019-01-01 00:11:14,2348245054386329,"fraud_Konopelski, Schneider and Hartmann",food_dining,63.07,M,Harborcreek,PA,16421,42.1767,-79.9416,2518,Event organiser,41.430274,-79.492553,0,0,1,2019-01,72,Low,67.67356232939035,0
2019-01-01 00:12:34,4956828990005111019,"fraud_Schultz, Simonis and Little",grocery_pos,44.71,M,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,40.079588,-74.84808699999999,0,0,1,2019-01,38,Low,59.85805851791086,0
2019-01-01 00:13:08,4469777115158234880,fraud_Bauch-Raynor,grocery_pos,57.34,M,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,42.26876,-71.217297,0,0,1,2019-01,38,Low,55.21771497088045,0
2019-01-01 00:14:37,2305336922781618,fraud_Harris Inc,gas_transport,50.79,M,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,40.18893,-91.955115,0,0,1,2019-01,57,Low,64.21016825829923,0
2019-01-01 00:17:16,180048185037117,fraud_Kling-Grant,grocery_net,46.28,F,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,40.021888,-74.228188,0,0,1,2019-01,44,Low,87.32806709265176,0
2019-01-01 00:17:40,630441765090,fraud_Pacocha-Bauch,shopping_pos,9.55,F,May,TX,76857,31.9571,-98.9656,1791,Corporate investment banker,31.62635,-98.610225,0,0,1,2019-01,53,Low,65.114868015084,0
2019-01-01 00:18:06,4428780983793657331,fraud_Lesch Ltd,shopping_pos,22.95,M,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",43.375041,-89.055065,0,0,1,2019-01,73,Low,73.54767711171662,0
2019-01-01 00:18:07,343464013864032,fraud_Kunde-Sanford,misc_net,2.55,F,Bailey,NC,27807,35.8072,-78.0892,6629,Call centre manager,36.74987,-78.67787,0,0,1,2019-01,56,Low,67.3744965831435,0
2019-01-01 00:20:15,374930071163758,fraud_Deckow-O'Conner,grocery_pos,64.09,M,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,42.360426,-83.552316,0,0,1,2019-01,47,Low,64.31783931998903,0
2019-01-01 00:21:32,4334230547694630,fraud_Bruen-Yost,misc_pos,6.85,M,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",43.753735,-111.454923,0,0,1,2019-01,51,Low,69.42248035531262,0
2019-01-01 00:22:06,4225990116481262579,fraud_Kunze Inc,grocery_pos,90.22,M,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,19.560013,-156.045889,0,0,1,2019-01,52,Low,65.78066985645933,0
2019-01-01 00:22:18,4260059589824237,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,4.02,M,Valentine,NE,69201,42.8062,-100.6215,4005,Network engineer,42.47559,-101.265846,0,0,1,2019-01,73,Low,77.29775978407557,0
2019-01-01 00:22:36,180094608895855,"fraud_Kihn, Abernathy and Douglas",shopping_net,3.66,F,Westfir,OR,97492,43.7575,-122.481,597,Forensic psychologist,44.278191,-121.815161,0,0,1,2019-01,57,Low,70.92504723346829,0
2019-01-01 00:22:39,4599735407877245080,"fraud_Heller, Gutmann and Zieme",grocery_pos,82.8,F,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,36.294205,-89.81128199999999,0,0,1,2019-01,54,Low,65.55528649386085,0
